,geoid,flow
0,10024,5.11191463664789
1,10040_81786,11.899726040627758
2,10041A,11.860384853916255
3,10053,11.777454214042208
4,18143,6.638057118196227
5,18143A,6.767888970742166
6,18143B,6.760764558022759
7,21256,27.513436150629772
8,21776_57122,25.096985652932876
9,21800,26.66172204598208
10,21821,27.241772083094908
11,21821A,27.002579320012643
12,21821C,26.763631391786706
13,21903,10.468836135865876
14,21928,7.384655022108332
15,21930,11.80002548165287
16,22145,19.483383399091835
17,31460,5.114518526169298
18,31651B,22.63021118415555
19,31651C,22.219588069197837
20,32849,19.234210637206758
21,32850,19.10682425759077
22,33804,35.71321187694677
23,33871,10.513549154504492
24,34661,10.482700242625569
25,34814,18.738944441991535
26,34994,35.31711907132356
27,41870,18.932862880630196
28,45672A,36.703860585303836
29,45704,27.662960919651454
30,45788,16.626865255228424
31,45804,10.455957160602363
32,45969,27.80571781561548
33,45969A,27.6662660847947
34,45969B,27.14381197609648
35,46980,34.95821209693992
36,55133,18.409706064526834
37,57123,24.468429593543902
38,57305,25.691383252153056
39,57311,26.045390853063246
40,57736,24.74468042711848
41,57737,24.294823435264817
42,57758,36.491829296040386
43,57818,18.81213065537787
44,57877,3.0737125054451493
45,57891,5.107017582651494
46,57895,6.649014194691806
47,57909,11.82738113118608
48,57926,11.773413403777724
49,69547A,18.40822087630921
50,69768,26.397430413365328
51,69771,27.422691724776634
52,69788,26.557447434792515
53,69810A,25.622944684399016
54,69819,19.873185990478213
55,69819A,19.91982675963036
56,69820,19.671692344838974
57,69853,18.37533994656166
58,69859,19.179106849433037
59,69887,7.331139712003342
60,77869,18.444822272708073
61,79098,5.121881876350244
62,81079,27.306061325186565
63,81615,36.104907196334494
64,81641,27.71023317142894
65,81671,22.59619961214733
66,81719,16.516403573516172
67,81719A,16.628880729543663
68,81722,19.351013627755194
69,81732,11.792027270822853
70,81744,6.6561771150595765
71,81747,6.748173139259224
72,81757,5.1140050757609234
73,81777,11.77917245805868
74,81792,7.285963319100313
75,81796,16.686836411045597
76,89698,18.69318381454026
77,90880,19.398829377662786
78,93505,27.065623525996173
79,93541A,19.38094772778375
80,93559,19.215258650237033
81,93560,19.13901697601048
82,93613,10.490169066641931
83,93614A,2.8960999999307724
84,93614B,2.9410499944593558
85,93633,6.828681836712901
86,93634,6.840701059733758
87,93668,19.5154341624054
88,93996,11.824203369881445
89,93996A,11.768541011117847
90,9447,25.413774910816453
91,9935,19.121624970788282
92,9941A_31651,22.1171817611829
93,9943,25.496603585615695
94,9997,18.984880133647067
95,9998,19.040094367842137
96,CDT-135,23.54059876818053
97,CML_079D,5.094835671221723
98,NC38,42.215546509837914
99,SGM06368,21.347755049145572
100,SGM09810_2,98.38478677787705
101,SGM09841,41.50939313178638
102,SGM09846,52.643847008348345
103,SGM09855,53.67623424033337
104,SGM10075,80.70404121055354
105,SGM10082,64.86934945196751
106,SGM19807,86.75699681419202
107,SGM19827_39782,103.26132230170512
108,SGM19828,90.87911668794476
109,SGM19839,54.68612751147346
110,SGM28572_79644,91.36549722485975
111,SGM29761,21.149884270127515
112,SGM29825_1,76.39692949746984
113,SGM29825_2,85.42408869558865
114,SGM29868_39787_09810_1,80.93672079221952
115,SGM29869,84.12271522037048
116,SGM29870,94.38435259019373
117,SGM29872,94.95094946049079
118,SGM29873,42.10168936659757
119,SGM29874,41.84904365132102
120,SGM29875_39789,101.12609450367555
121,SGM39687,21.08084771580009
122,SGM39746,96.38805033595857
123,SGM39748,93.82145390612729
124,SGM46968,82.91378121817556
125,SGM48471_70052,89.15673226689341
126,SGM50199,79.29823934246923
127,SGM59897,89.02467948917754
128,SGM59898,41.62046321983082
129,SGM59905,41.98525553919747
130,SGM69768,96.49873710697327
131,SGM69786,99.35472925020264
132,SGM70053,87.18856425224598
133,SGM70055,78.36053577866855
134,SGM70058,78.23453094863885
135,SGM79626,92.95134184477368
136,SGM79652,41.204191343769814
137,SGM79915_11006,85.19832859471322
138,SGM82167_69792,89.69694226697274
139,SGM82917,97.06568088925528
140,SGM82919_59870_49738,87.46156039207088
141,SGM82992_49952,97.87280179341786
