,name,geoid,flow
0,10024,5,0.9285541803671247
1,10040_81786,8,0.11075902058787007
2,10041A,9,0.0990979731642197
3,10053,10,0.3801677707231117
4,18143,96,0.005508762579896813
5,18143A,97,0.0024296559221030703
6,18143B,98,0.0010669929143540227
7,21256,148,0.046405460534125635
8,21776_57122,178,0.0
9,21800,192,0.0
10,21821,204,0.0008914495960652331
11,21821A,205,0.0006020233939156847
12,21821C,206,0.00047163282754760785
13,21903,233,0.0007634671703879795
14,21928,237,0.5489757093606948
15,21930,238,0.0030600550156202194
16,22145,244,0.06891824140282875
17,31460,382,2.1987977612464427
18,31651B,393,0.3480548123909091
19,31651C,394,0.21627954212573625
20,32849,421,0.22186017751664525
21,32850,422,0.2084324250405106
22,33804,467,0.012436526853672109
23,33871,495,0.0336592962575433
24,34661,521,0.0016725221336469376
25,34814,522,0.10524033563370694
26,34994,554,0.004708973613438156
27,41870,672,0.08378839399355935
28,45672A,887,0.0
29,45704,904,0.002655914161932645
30,45788,945,0.12990312667060025
31,45804,948,0.00035353358665228855
32,45969,957,0.0
33,45969A,958,0.0
34,45969B,959,0.0
35,46980,1079,-0.19502898236624003
36,55133,1151,0.10053423693227428
37,57123,1170,0.0
38,57305,1174,0.0
39,57311,1175,0.0
40,57736,1192,0.0
41,57737,1193,0.0
42,57758,1197,0.0
43,57818,1221,0.08298901927292
44,57877,1238,2.1356466633473303
45,57891,1241,0.06123235163476561
46,57895,1243,0.03182945695183362
47,57909,1246,0.01820718269777561
48,57926,1247,0.02968547512123218
49,69547A,1367,0.3164854811784175
50,69768,1408,0.0
51,69771,1410,0.001252128867441784
52,69788,1421,0.00027598524430261305
53,69810A,1432,0.33649630590543034
54,69819,1437,0.14420705889578492
55,69819A,1438,0.20256931844269876
56,69820,1439,0.11733039468347556
57,69853,1455,0.03098529152511033
58,69859,1456,0.009226741636169955
59,69887,1462,0.10353864311841243
60,77869,1573,0.12264961692022956
61,79098,1596,0.007908600077604171
62,81079,1642,0.09229993398576414
63,81615,1663,0.0
64,81641,1683,0.19265018961571473
65,81671,1694,0.16397753430572565
66,81719,1708,0.0835688542609476
67,81719A,1709,0.1788072487318183
68,81722,1711,0.03962666453641331
69,81732,1712,0.4666806569637424
70,81744,1717,0.11960422125174522
71,81747,1719,0.0002504906547935115
72,81757,1723,2.0897727235186503
73,81777,1724,0.04708270868367274
74,81792,1725,0.029439675598976398
75,81796,1726,0.09563629090534981
76,89698,1786,0.030139492356631027
77,90880,1856,0.028729378430411633
78,93505,1921,0.025350884105633895
79,93541A,1934,0.05153141410281972
80,93559,1939,0.031016920051456426
81,93560,1940,0.19171060859176392
82,93613,1966,0.005056099042427271
83,93614A,1967,2.1400462025922664
84,93614B,1968,2.1743950093193796
85,93633,1972,0.06699707955519377
86,93634,1973,0.10864731972119632
87,93668,1974,0.04976154439915439
88,93996,1983,0.16310047852131881
89,93996A,1984,0.29380711796965975
90,9447,1992,0.0
91,9935,2076,0.01271223784472307
92,9941A_31651,2079,0.5387505410843076
93,9943,2080,0.05140109931219973
94,9997,2103,0.10545862159583119
95,9998,2104,0.03777221701889507
96,CDT-135,2334,0.11296385945286291
97,CML_079D,2358,2.368870336997936
98,NC38,5051,7.017863651354531
99,SGM06368,5780,0.44903165485269014
100,SGM09810_2,6159,0.0038210679362618663
101,SGM09841,6173,6.132148502352217
102,SGM09846,6177,0.7796774174628451
103,SGM09855,6181,0.33252628415924873
104,SGM10075,6312,-0.09766667088930117
105,SGM10082,6314,-2.6751899225554827
106,SGM19807,7305,0.7779400412910326
107,SGM19827_39782,7319,14.774115336567144
108,SGM19828,7320,0.0
109,SGM19839,7327,0.9266175255139626
110,SGM28572_79644,8194,0.7539101614526158
111,SGM29761,8328,-0.07654083279141308
112,SGM29825_1,8343,-0.9266985959541274
113,SGM29825_2,8344,-1.3724774176017684
114,SGM29868_39787_09810_1,8365,0.018405240328917067
115,SGM29869,8366,0.1914205769990104
116,SGM29870,8367,-0.24949099373883404
117,SGM29872,8368,0.0
118,SGM29873,8369,6.8948421442072085
119,SGM29874,8370,7.1509032895949005
120,SGM29875_39789,8371,13.769602451183669
121,SGM39687,9385,0.840291762618113
122,SGM39746,9388,-0.0
123,SGM39748,9389,1.5893900905874387
124,SGM46968,10078,0.0026501384542195663
125,SGM48471_70052,10360,0.11162090695621729
126,SGM50199,10627,-0.3830075478151479
127,SGM59897,11426,-0.002215891644327459
128,SGM59898,11427,3.3220923294140636
129,SGM59905,11430,4.955011456263504
130,SGM69768,12421,0.0010830753834227672
131,SGM69786,12433,13.2799248789748
132,SGM70053,12585,0.015612109808588022
133,SGM70055,12587,-0.49891877816231045
134,SGM70058,12589,-0.6409284425300648
135,SGM79626,13455,0.0
136,SGM79652,13467,1.7034740608621828
137,SGM79915_11006,13607,0.004472357450253324
138,SGM82167_69792,14346,0.4522881090125508
139,SGM82917,14596,5.036221952318301
140,SGM82919_59870_49738,14597,-0.15431945835265648
141,SGM82992_49952,14615,11.26232391235704
